repetitions;time(ns)
100;75847031
200;95316441
300;106643024
400;121270021
500;130563786
600;136213677
700;142959215
800;148249000
900;154145973
1000;166554712
1100;171478948
1200;177197667
1300;181653632
1400;184421521
1500;191919440
1600;196230648
1700;200478047
1800;204512847
1900;207490990
2000;213530205
2100;217601471
2200;220810347
2300;228542581
2400;230653636
2500;232771766
2600;234860495
2700;236938815
2800;239058585
2900;241147871
3000;243238029
3100;245375785
3200;247487378
3300;250888748
3400;254513309
3500;258086389
3600;261590872
3700;265088917
3800;268652795
3900;272145168
4000;275624331
4100;279161375
4200;282712585
4300;285187247
4400;287261860
4500;289356416
4600;291505629
4700;294460911
4800;301720372
4900;303852999
5000;305970150
5100;308079101
5200;310156292
5300;312814767
5400;316356553
5500;319820717
5600;322575734
5700;325440978
5800;328910476
5900;332111129
6000;336007999
6100;339536171
6200;342178378
6300;344283281
6400;346737042
6500;348878528
6600;351017759
6700;354538890
6800;358101628
6900;361720429
7000;365233999
7100;367703304
7200;369822612
7300;373317926
7400;376571802
7500;385042893
7600;387727540
7700;389828077
7800;391895380
7900;396239227
8000;400200901
8100;403681705
8200;405815167
8300;408252268
8400;410358942
8500;415655239
8600;420999440
8700;424229073
8800;427386040
8900;430810849
9000;433131013
9100;435221041
9200;437761801
9300;441130317
9400;444568196
9500;447946987
9600;451437398
9700;454236450
9800;457708607
9900;461102032
